timestamp,MILL_OUTLET_TEMP,MILL_BEARING_VIB,MILL_MOTOR_CURRENT,BUNKER_COAL_TEMP,BELT_MISALIGNMENT,FURNACE_DRAFT_PRES,DRUM_LEVEL,MAIN_STEAM_TEMP,MAIN_STEAM_PRES,FEGT,FLAME_SCANNER,WATERWALL_TEMP,SHAFT_VIB,BEARING_METAL_TEMP,LUBE_OIL_PRES,STATOR_WINDING_TEMP,RPM,CONDENSER_VACUUM,CONDENSER_COND,HOTWELL_LEVEL,BFP_BEARING_VIB,DEAERATOR_LEVEL,GEN_DIFF_PROT,TRANSFORMER_DGA,TRANSFORMER_TEMP,BUCHHOLZ_RELAY,BREAKER_STATUS,STACK_SO2,STACK_OPACITY,ESP_FIELD_CURRENT,ID_FAN_VIB,FGD_SLURRY_PH
2026-07-08 17:37:41.441608+00:00,89.94,3.01,93.67,42.31,0.0,-8.04,0.0,538.37,126.96,1134.05,0.89,304.32,74.44,72.31,0.95,109.72,3192.65,-686.06,0.1,53.56,2.97,0.0,0.0,3.94,74.97,0.0,0.91,198.56,3.6,396.75,3.87,6.07
2026-07-08 17:37:44.457952+00:00,90.78,2.99,94.06,41.91,0.0,-8.01,0.0,533.16,127.01,1134.62,0.89,302.3,75.14,72.74,0.96,110.44,3184.28,-679.78,0.1,53.24,2.95,0.0,0.0,3.97,75.28,0.0,0.9,197.92,3.64,395.04,3.86,6.03
2026-07-08 17:37:47.466937+00:00,91.24,2.97,94.94,41.89,0.0,-7.95,0.0,534.9,126.57,1133.71,0.89,304.98,75.92,73.36,0.96,109.74,3203.14,-678.84,0.1,53.49,2.96,0.0,0.0,3.99,75.71,0.0,0.91,198.27,3.6,394.92,3.89,6.01
2026-07-08 17:37:50.474990+00:00,90.55,2.98,94.45,42.18,0.0,-7.99,0.0,538.29,129.5,1125.81,0.89,307.09,75.73,72.95,0.95,109.05,3227.02,-683.03,0.1,53.12,2.96,0.0,0.0,3.94,76.18,0.0,0.91,197.48,3.64,396.9,3.88,6.04
2026-07-08 17:37:53.513361+00:00,90.62,2.96,93.72,41.91,0.0,-7.98,0.0,541.63,127.11,1136.27,0.89,308.97,75.15,72.32,0.95,109.05,3232.61,-677.26,0.1,53.45,2.98,0.0,0.0,3.95,76.14,0.0,0.91,196.62,3.61,397.3,3.86,6.07
2026-07-08 17:37:56.529014+00:00,89.95,2.95,93.82,41.59,0.0,-8.02,0.0,536.12,126.55,1128.22,0.88,311.79,74.67,71.74,0.95,109.73,3235.78,-679.21,0.1,53.38,2.99,0.0,0.0,3.98,75.75,0.0,0.92,199.79,3.64,394.86,3.85,6.12
2026-07-08 17:37:59.533441+00:00,90.64,2.98,94.27,41.4,0.0,-8.06,0.0,536.56,127.4,1136.97,0.88,313.28,74.7,71.61,0.96,109.15,3215.03,-684.22,0.1,52.9,3.0,0.0,0.0,3.99,76.42,0.0,0.92,199.6,3.63,394.93,3.85,6.15
2026-07-08 17:38:02.541084+00:00,90.02,2.98,94.14,41.75,0.0,-8.01,0.0,537.58,127.62,1136.56,0.88,310.9,75.05,71.73,0.96,109.0,3199.7,-679.21,0.1,53.05,2.99,0.0,0.0,3.96,76.69,0.0,0.91,199.62,3.66,391.21,3.84,6.17
2026-07-08 17:38:05.550690+00:00,89.71,2.97,95.78,42.15,0.0,-7.92,0.0,532.25,126.71,1136.12,0.88,307.88,74.56,71.93,0.96,109.7,3175.39,-684.7,0.1,53.34,3.01,0.0,0.0,3.99,77.01,0.0,0.9,199.36,3.69,394.7,3.82,6.16
2026-07-08 17:38:08.555281+00:00,89.66,2.98,95.05,42.23,0.0,-7.98,0.0,532.9,127.58,1140.38,0.88,311.0,75.02,72.03,0.97,108.86,3191.71,-678.83,0.1,53.77,2.98,0.0,0.0,3.93,77.09,0.0,0.9,198.09,3.68,393.83,3.84,6.19
